name,agency_type,jurisdiction_name,address,city,state,zip,latitude,longitude,phone,website_url,public_records_url,public_records_email,records_portal_type,system_role,source_url,verified_status,notes,geocode_source,geocode_confidence,geocode_notes
Reynoldsburg City Hall / Municipal Administration,city_government,Reynoldsburg,7232 E Main St,Reynoldsburg,OH,43068,39.954889,-82.806099,614-322-6800,https://reynoldsburg.gov,https://reynoldsburg.gov/453/Public-Records-Request,publicrecords@reynoldsburg.gov,email,Central municipal administration and public records routing,https://reynoldsburg.gov/directory.aspx,unverified,Add exact coordinates,official_address,high,"Reynoldsburg Municipal Building, 7232 E Main St"
Reynoldsburg Water/Wastewater Department,water_sewer_stormwater,Reynoldsburg,7232 E Main St,Reynoldsburg,OH,43068,39.954889,-82.806099,614-322-6811,https://reynoldsburg.gov/250/Water-Wastewater-Department,https://reynoldsburg.gov/453/Public-Records-Request,publicrecords@reynoldsburg.gov,email,Water/sewer operations billing deposits shutoffs reconnection fees,https://reynoldsburg.gov/250/Water-Wastewater-Department,unverified,Primary local water billing and records office,official_address,high,"Co-located at Reynoldsburg Municipal Building, 7232 E Main St"
Reynoldsburg Service Department,public_utilities,Reynoldsburg,7232 E Main St,Reynoldsburg,OH,43068,39.954889,-82.806099,,https://reynoldsburg.gov/226/Service-Department,https://reynoldsburg.gov/453/Public-Records-Request,publicrecords@reynoldsburg.gov,email,Administrative umbrella for street stormwater water sewer refuse recycling,https://reynoldsburg.gov/226/Service-Department,unverified,Connects infrastructure operations to city service delivery,official_address,medium,Listed at municipal building address; field operations may sit elsewhere - verify operational yard location
Reynoldsburg City Council,legislative_body,Reynoldsburg,7232 E Main St,Reynoldsburg,OH,43068,39.954889,-82.806099,,https://reynoldsburg.gov/directory.aspx,https://reynoldsburg.gov/453/Public-Records-Request,publicrecords@reynoldsburg.gov,email,Legislative body for ordinances rates fees public meetings,https://reynoldsburg.gov/directory.aspx,unverified,Attach agenda minutes and ordinance records,official_address,high,"Council chambers at Reynoldsburg Municipal Building, 7232 E Main St"
Reynoldsburg City Auditor / Finance,finance_auditor,Reynoldsburg,7232 E Main St,Reynoldsburg,OH,43068,39.954889,-82.806099,,https://reynoldsburg.gov/directory.aspx,https://reynoldsburg.gov/453/Public-Records-Request,publicrecords@reynoldsburg.gov,email,Fiscal records utility funds deposit accounting and annual finance records,https://reynoldsburg.gov/directory.aspx,unverified,Needed to trace where deposit money is recorded,official_address,high,"Within Reynoldsburg Municipal Building, 7232 E Main St"
Reynoldsburg Storm Water Utility,water_sewer_stormwater,Reynoldsburg,7232 E Main St,Reynoldsburg,OH,43068,39.954889,-82.806099,,https://reynoldsburg.gov,https://reynoldsburg.gov/453/Public-Records-Request,publicrecords@reynoldsburg.gov,email,Stormwater fee and drainage-system records,https://reynoldsburg.gov,unverified,,official_address,medium,Billed/administered at municipal building; infrastructure is jurisdiction-wide
Reynoldsburg City Schools District Office,school_district,Reynoldsburg,7244 E Main St,Reynoldsburg,OH,43068,39.955900,-82.805400,,https://www.reyn.org,,,unknown,Student/family outreach and public education records context,https://www.reyn.org,unverified,,official_address,high,"Reynoldsburg City Schools district office, 7244 E Main St (adjacent to municipal building)"
Columbus Metropolitan Library Reynoldsburg Branch,library_community_access,Reynoldsburg,1402 Brice Rd,Reynoldsburg,OH,43068,39.949600,-82.787900,,https://www.columbuslibrary.org,,,unknown,Community education QR access public computers and resident learning,https://www.columbuslibrary.org/library-locations/,unverified,Confirm permission for flyers/programming,official_address,high,"CML Reynoldsburg Branch, 1402 Brice Rd"
Reynoldsburg Parks & Recreation / Senior Center,library_community_access,Reynoldsburg,1520 Davidson Dr,Reynoldsburg,OH,43068,39.962100,-82.806600,,https://reynoldsburg.gov,,,unknown,Senior outreach and community programming,https://reynoldsburg.gov,unverified,,official_address,medium,Senior Center listed at 1520 Davidson Dr; confirm parks admin vs senior center coordinate
City of Columbus Water & Power / Department of Public Utilities,public_utilities,Columbus,90 W Broad St,Columbus,OH,43215,39.961400,-83.003800,,https://www.columbus.gov/Services/Columbus-Water-Power,https://www.columbus.gov/Services/Columbus-Water-Power/About-Columbus-Water-Power/Utilities-Public-Records-Policy-and-Requests,DPUpublicrecords@columbus.gov,email,Regional water/sewer supplier and contract partner,https://www.columbus.gov/Services/Columbus-Water-Power/Start-New-Utility-Service,unverified,Columbus provides water/sewer to multiple contract communities,official_address,high,"Columbus DPU, 90 W Broad St (Columbus City Hall complex area)"
