portal_id,name,portal_kind,url,jurisdiction_name,covers,login_required,account_notes,accepts_anonymous,fee_schedule_url,typical_fees,submission_notes,statute_ref,source_url,verified_status,status,notes
oh-court-of-claims-pra,Ohio Court of Claims — Public Records Complaints,court_appeal,https://ohiocourtofclaims.gov/public-records/,Ohio,"Formal complaints when a public office denies a records request or fails to respond. This is the cheap, fast alternative to a mandamus action.",false,"File online with a credit card, by mail with a check or money order payable to the Ohio Court of Claims, or in person with cash.",false,,"$25 filing fee, non-refundable (R.C. 2743.75(D)(1))","A special master is appointed and mediation is offered. Final orders may be appealed to the court of appeals for the district where the public office has its principal place of business (R.C. 2743.75(G)(1)).",R.C. 2743.75,https://ohiocourtofclaims.gov/public-records/,verified,active,"VERIFIED 2026-08-11 — $25 non-refundable fee and appellate-district rule confirmed against the court's own page and codes.ohio.gov."
oh-revised-code,Ohio Revised Code (codes.ohio.gov),records_search,https://codes.ohio.gov/ohio-revised-code/section-149.43,Ohio,"Primary text of the Ohio Public Records Act and every other statute you will cite. Always quote from here, never from a summary.",false,,true,,none,"Section 149.43 is the Public Records Act. Section 2743.75 is the Court of Claims complaint process.",R.C. 149.43,https://codes.ohio.gov/ohio-revised-code/section-149.43,verified,active,"VERIFIED 2026-08-11 — statute sets NO fixed day count: inspection 'promptly', copies 'within a reasonable period of time'."
oh-ag-sunshine,Ohio Attorney General — Sunshine Laws / Yellow Book,records_search,https://www.ohioattorneygeneral.gov/YellowBook,Ohio,"The AG's annual Sunshine Laws manual — the standard reference public offices themselves are trained on. Quote it back to them.",false,,true,,free PDF,"Cite the current edition by year and page when disputing a denial.",R.C. 109.43,https://www.ohioattorneygeneral.gov/YellowBook,verified,active,"VERIFIED 2026-08-11 — page resolved. Confirm the current-year edition before citing a page number."
oh-supreme-court-opinions,Supreme Court of Ohio — Opinions & Case Search,docket_search,https://www.supremecourt.ohio.gov/rod/docs/,Ohio,"Ohio Supreme Court opinions and dockets. Where you find the controlling public-records case law.",false,,true,,free,"Search by docket number, case title, or full text.",,https://www.supremecourt.ohio.gov/rod/docs/,verified,active,"VERIFIED 2026-08-11 via search."
oh-auditor-audit-search,Ohio Auditor of State — Audit Search,records_search,https://ohioauditor.gov/auditsearch/ReportsReleased.aspx,Ohio,"Released audit reports for ~5,000 units of Ohio government, including Findings for Recovery (public money not handled according to law).",false,,true,,free,"Findings for Recovery are the highest-value item here. Search by entity and year.",,https://ohioauditor.gov/auditsearch/ReportsReleased.aspx,verified,active,"VERIFIED 2026-08-11 via search."
oh-sos-business-search,Ohio Secretary of State — Business Entity Search,business_registry,https://businesssearch.ohiosos.gov/,Ohio,"Every registered LLC, corporation, partnership, trade name and trademark in Ohio, with filed images. Core due-diligence lookup.",false,,true,,free,"Free, no registration. Pull the actual filing images, not just the summary screen — officers and agents are on the images.",,https://businesssearch.ohiosos.gov/,verified,active,"VERIFIED 2026-08-11 via search."
fc-clerk-cio,Franklin County Clerk of Courts — Case Information Online (CIO),docket_search,https://fcdcfcjs.co.franklin.oh.us/CaseInformationOnline/,Franklin County,"Common Pleas civil and criminal, Domestic Relations, and 10th District Court of Appeals cases.",false,,true,,"free to search; copy fees apply","Search by party name or case number. You must accept a disclaimer page first. Phone: 614-525-3600.",,https://fcdcfcjs.co.franklin.oh.us/CaseInformationOnline/,verified,active,"VERIFIED 2026-08-11 via search."
fc-municipal-clerk,Franklin County Municipal Court Clerk — Case Search,docket_search,https://www.fcmcclerk.com/case/search,Franklin County,"Municipal court cases: misdemeanors, traffic, evictions, small claims. This is where most local police charges land.",false,,true,,"free to search","Search by case or ticket number for best results; name search also works.",,https://www.fcmcclerk.com/case/search,verified,active,"VERIFIED 2026-08-11 via search. RELEVANT: municipal-level criminal cases in Franklin County appear here."
columbus-legistar,Columbus City Council — Legistar,records_search,https://columbus.legistar.com/Legislation.aspx,Columbus,"Full ordinance, resolution, agenda and minutes history for Columbus City Council. Where ordinances like 3142-2023 and 1075-2024 live.",false,,true,,free,"Search by ordinance number or keyword; export result lists. Attachments hold the contracts.",,https://columbus.legistar.com/,unverified,unknown,"NOT CONFIRMED THIS SESSION — run scripts/check_portals.js to verify before relying on it."
columbus-records-request,City of Columbus — Public Records Request,web_form,https://www.columbus.gov/,Columbus,"Central intake for City of Columbus records requests, including Department of Public Utilities.",false,,true,,"copy costs at actual cost","Route DPU rate and consent-order questions here and ask them to confirm the custodian in writing.",R.C. 149.43,https://www.columbus.gov/,unverified,unknown,"VERIFY the exact records-request landing URL — city sites reorganize often."
fc-auditor,Franklin County Auditor — Property Search,records_search,https://property.franklincountyohio.gov/,Franklin County,"Parcel ownership, valuation, transfers, and tax history. Primary tool for property due diligence.",false,,true,,free,"Search by address, owner, or parcel ID. Transfer history shows the chain of ownership.",,https://property.franklincountyohio.gov/,unverified,unknown,"VERIFY URL before first use."
fc-recorder,Franklin County Recorder — Official Records Search,records_search,https://recorder.franklincountyohio.gov/,Franklin County,"Deeds, mortgages, liens, easements, UCC filings. Where you prove who actually owns and who is owed.",false,,true,,"per-page copy fees","Search by name or instrument number. Certified copies cost extra.",,https://recorder.franklincountyohio.gov/,unverified,unknown,"VERIFY URL before first use."
gahanna-records,City of Gahanna — Public Records Request,web_form,https://www.gahanna.gov/,Gahanna,"City of Gahanna records intake, including police department reports, body-worn camera footage, and dispatch/CAD records.",false,,true,,"copy costs at actual cost","Body-worn camera requests are their own category under R.C. 149.43(A)(17) restricted-portion rules — ask for the unredacted-to-you portions and get any withholding cited in writing.",R.C. 149.43,https://www.gahanna.gov/,unverified,unknown,"VERIFY the exact records-request URL and the records custodian's title before filing."
